Driver ID,Location X,Location Y,Is OnService,Is Active,Working Hours,Total Working Hours,Total idleTime,Total Active Hour,Revenus
0,7,9,false,true,0.0,0.0,0.0,0.0,0.0
1,-1,-1,true,true,0.0,0.0,0.0,0.0,0.0
2,-1,-1,true,true,0.0,0.0,0.0,0.0,0.0
3,7,0,false,true,0.0,0.0,0.0,0.0,0.0
4,-1,-1,true,true,0.0,0.0,0.0,0.0,0.0
5,9,1,false,true,0.0,0.0,0.0,0.0,0.0
6,9,0,false,true,0.0,0.0,0.0,0.0,0.0
7,0,0,false,true,0.0,0.0,0.0,0.0,0.0
8,4,8,false,true,0.0,0.0,0.0,0.0,0.0
9,5,3,false,true,0.0,0.0,0.0,0.0,0.0
10,2,1,false,true,0.0,0.0,0.0,0.0,0.0
11,2,4,false,true,0.0,0.0,0.0,0.0,0.0
12,4,2,false,true,0.0,0.0,0.0,0.0,0.0
13,-1,-1,true,true,0.0,0.0,0.0,0.0,0.0
14,6,6,false,true,0.0,0.0,0.0,0.0,0.0
15,-1,-1,true,true,0.0,0.0,0.0,0.0,0.0
16,-1,-1,true,true,0.0,0.0,0.0,0.0,0.0
17,6,6,false,true,0.0,0.0,0.0,0.0,0.0
18,5,3,false,true,0.0,0.0,0.0,0.0,0.0
19,1,0,false,true,0.0,0.0,0.0,0.0,0.0
20,-1,-1,true,true,0.0,0.0,0.0,0.0,0.0
21,7,9,false,true,0.0,0.0,0.0,0.0,0.0
22,8,5,false,true,0.0,0.0,0.0,0.0,0.0
23,5,2,false,true,0.0,0.0,0.0,0.0,0.0
24,-1,-1,true,true,0.0,0.0,0.0,0.0,0.0
25,4,9,false,true,0.0,0.0,0.0,0.0,0.0
26,7,3,false,true,0.0,0.0,0.0,0.0,0.0
27,9,4,false,true,0.0,0.0,0.0,0.0,0.0
28,-1,-1,true,true,0.0,0.0,0.0,0.0,0.0
29,2,1,false,true,0.0,0.0,0.0,0.0,0.0
30,-1,-1,true,true,0.0,0.0,0.0,0.0,0.0
31,1,5,false,true,0.0,0.0,0.0,0.0,0.0
32,2,2,false,true,0.0,0.0,0.0,0.0,0.0
33,4,1,false,true,0.0,0.0,0.0,0.0,0.0
34,8,3,false,true,0.0,0.0,0.0,0.0,0.0
35,4,7,false,true,0.0,0.0,0.0,0.0,0.0
36,0,1,false,true,0.0,0.0,0.0,0.0,0.0
37,9,9,false,true,0.0,0.0,0.0,0.0,0.0
38,-1,-1,true,true,0.0,0.0,0.0,0.0,0.0
39,0,4,false,true,0.0,0.0,0.0,0.0,0.0
40,1,9,false,true,0.0,0.0,0.0,0.0,0.0
41,6,7,false,true,0.0,0.0,0.0,0.0,0.0
42,0,4,false,true,0.0,0.0,0.0,0.0,0.0
43,1,5,false,true,0.0,0.0,0.0,0.0,0.0
44,8,1,false,true,0.0,0.0,0.0,0.0,0.0
45,6,9,false,true,0.0,0.0,0.0,0.0,0.0
46,-1,-1,true,true,0.0,0.0,0.0,0.0,0.0
47,5,8,false,true,0.0,0.0,0.0,0.0,0.0
48,8,7,false,true,0.0,0.0,0.0,0.0,0.0
49,7,6,false,true,0.0,0.0,0.0,0.0,0.0
50,6,2,false,true,0.0,0.0,0.0,0.0,0.0
51,0,1,false,true,0.0,0.0,0.0,0.0,0.0
52,-1,-1,true,true,0.0,0.0,0.0,0.0,0.0
53,3,0,false,true,0.0,0.0,0.0,0.0,0.0
54,5,3,false,true,0.0,0.0,0.0,0.0,0.0
55,3,2,false,true,0.0,0.0,0.0,0.0,0.0
56,1,3,false,true,0.0,0.0,0.0,0.0,0.0
